Дата,"Доллар, цена открытия","Доллар, максимальная цена","Доллар, минимальная цена","Доллар, цена закрытия","Доллар, объем торгов","Юань, цена открытия","Юань, цена максимальная цена","Юань, минимальная цена","Юань, цена закрытия","Юань, объем торгов","Газпром, цена открытия","Газпром, цена максимальная цена","Газпром, минимальная цена","Газпром, цена закрытия","Газпром, объем торгов"
1/4/2021,74.135,74.405,73.055,74.33,2196588000,11.466,11.512,11.328,11.502,29061000,212.71,216.63,211.64,212.71,55195430
1/5/2021,74.1125,75.2875,73.85,74.04,2696328000,11.5365,11.6639,11.47,11.51,26548000,213.2,215.38,210.22,215.32,48913740
1/6/2021,73.78,74.2075,73.3975,73.9225,2002842000,11.4456,11.5004,11.41,11.464,29617000,215.48,216.8,213.07,214.38,47897590
1/8/2021,74.265,74.835,73.8175,74.155,2341573000,11.478,11.5613,11.4425,11.468,12122000,217.14,226.24,217,225.49,100717800
1/11/2021,74.4325,75,74.265,74.66,3943607000,11.4966,11.5639,11.4731,11.53,74169000,225.05,231,221.81,227.6,112506470
1/12/2021,74.46,74.46,73.5,73.54,3501136000,11.52,11.52,11.3939,11.41,74373000,229,231.44,225.66,228.69,64309460
1/13/2021,73.5,73.98,73.375,73.7475,3171863000,11.3901,11.4479,11.3726,11.394,55970000,229.29,230.35,225.2,226.8,61102300
1/14/2021,73.77,74.01,73.1025,73.21,3229002000,11.4102,11.4494,11.3081,11.335,49071000,226.49,229.57,223.2,228.86,60003270
1/15/2021,73.455,73.8875,73.2625,73.645,3269638000,11.3521,11.3949,11.3121,11.347,89147000,227.5,230.7,226,226.5,54765970
1/18/2021,74.0075,74.38,73.77,73.995,3006420000,11.4046,11.4339,11.3671,11.3915,35120000,225.55,228.5,221.34,226.88,69147920
1/19/2021,73.8275,73.935,73.2275,73.68,2835426000,11.3709,11.4079,11.34,11.374,28496000,227.66,228.85,223,223.15,66619900
1/20/2021,73.68,73.6875,73.21,73.52,2580472000,11.3679,11.3904,11.3265,11.381,19728000,223,225.78,221.55,224.3,51248650
