Рейтинг регионов по количеству объявлений о продаже,Изменение рейтинга регионов по количеству объявлений о продаже,Регион,Активных объявлений о продаже,"Активных объявлений, вторичка","Активных объявлений, новостройки","Средняя стоимость м², вторичка","Средняя стоимость м², новостройки","Средний срок экспозиции, вторичка, дней",Рейтинг регионов по количеству заявок на кредит,Изменение рейтинга регионов по количеству заявок на кредит,Минимальное количество одобренных заявок,Доля онлайн-заявок,Доля заявок в офисе банка,"Доля заявок, новостройки","Доля заявок, вторичка","Средний срок одобрения, мин",Рейтинг по количеству ипотечных сделок,Изменение рейтинга по количеству ипотечных сделок,Минимальное количество ипотечных сделок,"Доля сделок, новостройки","Доля сделок, вторичка",Доля сделок с риелтором,"Средний срок сделки, новостройки, дней","Средний срок сделки, вторичка"
1,0,Краснодарский Край,228037,75809,52225,127764,132270,75.0833333333333,3,0,5000,47%,53%,19%,51%,1,3,0,1000,36%,59%,86%,18.75,34.875
2,0,Московская Область,172242,57247,34838,153659,181756,75.0416666666667,1,1,10000,62%,38%,12%,61%,1,2,0,1000,22%,69%,89%,15.5416666666667,33.7083333333333
3,0,Москва,145131,65638,56824,275281,315195,74.7083333333333,2,-1,10000,60%,40%,21%,54%,1,1,0,1000,33%,59%,90%,15.4583333333333,34.6666666666667
4,0,Санкт-Петербург,93237,44008,40695,188425,236205,84.4583333333333,4,0,5000,53%,47%,21%,51%,1,6,-1,1000,38%,57%,91%,13.9583333333333,32.9166666666667
5,1,Ростовская Область,88638,41625,17202,93333,105500,38.2916666666667,11,-2,5000,46%,54%,15%,63%,1,9,1,1000,31%,65%,86%,15.2083333333333,35.4583333333333
6,-1,Тюменская Область,86288,32155,13036,106780,116710,12.75,13,1,5000,61%,39%,19%,47%,1,12,-3,1000,35%,60%,90%,17.375,34.2916666666667
7,0,Новосибирская Область,82961,48584,15154,105882,137746,83.4166666666667,17,2,1000,46%,54%,18%,58%,1,13,2,1000,36%,59%,90%,18.7916666666667,35.25
8,0,Свердловская Область,59343,21499,18452,92459,115375,64.375,7,-1,5000,49%,51%,16%,63%,1,5,1,1000,29%,67%,89%,17.625,33.375
9,0,Ленинградская Область,56628,14296,19989,136170,142331,76.8333333333333,32,1,1000,60%,40%,9%,66%,1,32,-2,500,19%,72%,89%,15.0416666666667,33.9166666666667
10,0,Республика Башкортостан,54267,19352,11014,75214,131146,59.7916666666667,5,0,5000,43%,57%,11%,67%,1,4,0,1000,19%,76%,91%,18.2083333333333,32.1666666666667
11,0,Республика Татарстан,48004,16750,13709,99524,152634,66.125,8,0,5000,37%,63%,12%,62%,1,7,0,1000,17%,77%,92%,17.5,33.9583333333333
